international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_eve_minutes,total_night_minutes,total_intl_minutes,total_intl_calls,number_customer_service_calls,churn
-6,6,-0.230769231,3.050355619,0.513060214,1.433924051,0,-4.2,-4.666666667,0
-6,6,0,-0.483072546,0.450371185,1.728607595,2.22,-4.2,-4.666666667,0
-6,-6,-6,2.309530583,-2.001099808,-1.060253165,1.32,-3,-6,0
6,-6,-6,4.221337127,-3.95765741,-0.018227848,-2.04,-1.8,-3.333333333,0
6,-6,-6,-0.308961593,-1.106956283,-0.322025316,0.06,-4.2,-2,0
6,-6,-6,1.626742532,1.278526258,0.19443038,-2.22,-2.4,-6,0
-6,6,-0.461538462,1.449217639,5.498487765,0.458734177,-1.5,-1.8,-2,0
6,-6,-6,-0.640113798,-2.598295298,0.43443038,-1.74,-2.4,-6,0
-6,-6,-6,0.298719772,5.600769865,0.555949367,-0.78,-3.6,-4.666666667,0
6,6,2.538461538,2.828449502,1.324718174,3.915949367,0.72,-3,-6,0
-6,-6,-6,-1.592603129,1.539180643,0.343291139,1.62,-2.4,-0.666666667,1
-6,-6,-6,0.407965861,-0.60874347,-0.04556962,-0.54,-3,-6,0
-6,-6,-6,-1.60284495,-2.538905692,-1.713417722,0.72,-4.8,-4.666666667,0
-6,-6,-6,-0.653769559,2.16937036,-0.157974684,1.38,-3,-2,0
-6,-6,-6,-1.879374111,4.13582623,0.167088608,1.86,-2.4,-0.666666667,0
-6,-6,-6,5.365007112,4.485565026,-1.121012658,-2.76,-0.6,-0.666666667,1
-6,6,0.230769231,0.704978663,3.268078086,-3.287088608,2.28,-3.6,-4.666666667,0
-6,-6,-6,0.510384068,1.199340115,-2.06278481,-1.14,-4.2,-2,0
-6,6,1.615384615,0.476244666,1.021171295,-0.966075949,0,-3,-4.666666667,0
-6,-6,-6,1.660881935,-0.737420951,-0.14278481,1.8,-4.8,-4.666666667,0
-6,-6,-6,-0.704978663,1.908715975,0.343291139,0.36,-3.6,-6,0
-6,-6,-6,-3.86970128,-0.394281001,0.367594937,-2.58,-2.4,0.666666667,1
-6,-6,-6,0.247510669,-3.594720924,-0.476962025,-0.3,5.4,-6,0
-6,-6,-6,-2.231009957,-1.469892769,-0.24,-1.38,-2.4,-3.333333333,0
-6,-6,-6,-3.231294452,2.090184218,1.2,0.18,-4.8,-6,0
-6,-6,-6,-1.756472262,3.142700027,1.616202532,3.3,-3,-2,0
-6,6,3,1.271692745,0.305196591,-0.449620253,-0.3,-4.2,-6,0
-6,-6,-6,-1.415078236,-0.869397855,-2.898227848,2.82,-3.6,-2,0
-6,-6,-6,0.486486486,2.519109156,-0.486075949,-2.22,-2.4,-6,0
-6,-6,-6,-1.927169275,1.097058015,-0.571139241,0.66,-5.4,-4.666666667,0
-6,-6,-6,-3.104978663,-1.489689304,1.610126582,2.52,-2.4,-3.333333333,0
-6,-6,-6,1.718918919,0.648336541,1.479493671,0.18,-3,-4.666666667,0
-6,-6,-6,1.237553343,-4.970580148,2.910379747,1.56,0,-2,0
-6,-6,-6,2.521194879,2.327742645,2.512405063,1.08,-4.2,-4.666666667,1
-6,6,-0.230769231,0.035846373,0.433874072,0.486075949,-1.02,-3.6,-6,0
-6,6,2.538461538,1.510668563,1.169645312,-1.357974684,2.82,-2.4,-2,0
-6,6,0.923076923,-1.005405405,-0.638438273,-2.071898734,2.7,-2.4,-6,0
-6,-6,-6,-1.534566145,1.380808359,0.920506329,0,-3,-4.666666667,0
6,6,1.615384615,0.961024182,0.1897168,-2.910379747,0.3,-2.4,-2,0
-6,-6,-6,-1.206827881,2.96783063,-0.279493671,0.66,-0.6,-4.666666667,0
-6,-6,-6,-1.688193457,-0.496563101,-0.294683544,-0.36,-4.8,-2,0
6,6,3.461538462,-0.090469417,0.727522684,-2.287594937,2.76,3,-6,1
-6,-6,-6,-1.73940256,3.31097058,3.463291139,0,-3.6,-3.333333333,0
-6,-6,-6,-3.07083926,-0.54605444,-0.57721519,-0.48,-3.6,-2,0
-6,-6,-6,-0.742532006,1.450096233,2.059746835,-3.9,-4.2,-4.666666667,0
-6,6,0.461538462,-1.87254623,1.02777014,-1.045063291,-0.9,-3,-3.333333333,0
-6,-6,-6,1.213655761,-0.635138851,-1.907848101,1.92,-3,-2,0
-6,-6,-6,0.384068279,-1.558977179,1.357974684,-1.56,-3,-3.333333333,0
-6,-6,-6,-0.568421053,1.631564476,-1.649620253,-0.72,-4.2,0.666666667,1
-6,6,-0.461538462,-1.452631579,1.166345889,-3.855189873,0.6,-4.2,-4.666666667,0
-6,-6,-6,0.551351351,2.901842178,1.193924051,-1.32,-3,-2,0
-6,-6,-6,1.531152205,0.965081111,1.564556962,-1.92,-4.2,-4.666666667,0
-6,-6,-6,0.353342817,0.275501787,2.591392405,0.84,-2.4,-3.333333333,0
-6,-6,-6,-0.53086771,2.825955458,0.941772152,-0.42,-3,-3.333333333,0
-6,-6,-6,-0.844950213,1.248831454,0.19443038,-0.18,-4.2,0.666666667,1
-6,-6,-6,-0.008534851,2.225460544,2.208607595,0.12,-4.2,-4.666666667,0
-6,-6,-6,-1.667709815,-0.061039318,-1.722531646,-1.2,-4.8,-4.666666667,0
-6,6,0.923076923,0.773257468,-3.515534781,-0.495189873,-2.52,-4.2,-2,1
-6,-6,-6,-0.920056899,2.133076712,-2.056708861,1.26,-4.2,-2,0
-6,-6,-6,1.828165007,-0.146824306,-0.249113924,1.2,-1.2,-4.666666667,0
-6,-6,-6,0.558179232,-0.394281001,-0.938734177,0.84,-3.6,-4.666666667,0
-6,6,1.846153846,3.169843528,-0.120428925,-0.947848101,0.96,-4.2,-3.333333333,0
-6,6,1.615384615,0.612802276,2.119879021,-1.807594937,2.76,-4.2,-3.333333333,0
-6,6,0.461538462,0.168990043,0.196315645,2.065822785,1.56,-4.2,-2,0
-6,-6,-6,-1.520910384,-0.625240583,-1.169620253,-1.08,-2.4,-3.333333333,0
-6,6,3.461538462,-0.943954481,-0.407478691,0.504303797,-2.28,-3,-3.333333333,0
6,-6,-6,2.586059744,1.021171295,-1.206075949,-0.42,-3.6,-6,0
6,-6,-6,-1.725746799,0.810008249,-2.071898734,-1.02,-1.2,-6,0
-6,-6,-6,1.223897582,1.156447622,-1.336708861,-1.32,-5.4,-4.666666667,0
-6,-6,-6,0.107539118,-0.420676382,-1.48556962,2.28,-4.2,-0.666666667,1
-6,-6,-6,2.254907539,-0.374484465,2.971139241,1.08,-1.8,-2,0
-6,6,4.615384615,1.677951636,0.209513335,1.734683544,1.26,-4.8,-6,0
-6,-6,-6,2.487055477,-1.087159747,-0.759493671,-1.2,-3.6,-2,0
-6,-6,-6,0.943954481,1.479791037,-1.370126582,-1.62,-3.6,-4.666666667,0
-6,-6,-6,2.050071124,-0.813307671,-0.282531646,1.2,-4.2,-6,0
-6,-6,-6,-0.636699858,1.367610668,-0.489113924,-2.34,-4.8,-4.666666667,0
-6,-6,-6,4.252062589,-0.028045092,2.20556962,1.02,-3.6,-6,1
-6,-6,-6,-3.897012802,-3.456145175,-0.744303797,-1.08,-1.8,-0.666666667,1
-6,-6,-6,1.309246088,-0.575749244,-0.607594937,-1.08,-4.2,-3.333333333,0
-6,-6,-6,-0.189473684,-0.879296123,0.944810127,3,-4.8,-4.666666667,0
-6,-6,-6,0.865433855,4.013747594,0.805063291,1.92,-4.8,-4.666666667,0
